Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Loan_Status,TotalIncome,Loan_to_Income_Ratio,EMI,Property_Area_Rural,Property_Area_Semiurban,Property_Area_Urban
1,1,1,1,0,3717.0,2925.0,151.0,360.0,1.0,0,6642.0,0.02273411623005119,0.41944444444444445,0,1,0
1,1,0,1,1,9560.0,0.0,191.0,360.0,1.0,1,9560.0,0.01997907949790795,0.5305555555555556,0,1,0
1,1,0,1,0,2799.0,2253.0,122.0,360.0,1.0,1,5052.0,0.02414885193982581,0.3388888888888889,0,1,0
1,1,2,0,0,4226.0,1040.0,110.0,360.0,1.0,1,5266.0,0.020888720091150777,0.3055555555555556,0,0,1
1,0,0,0,0,1442.0,0.0,35.0,360.0,1.0,0,1442.0,0.024271844660194174,0.09722222222222222,0,0,1
0,0,2,1,0,3750.0,2083.0,120.0,360.0,1.0,1,5833.0,0.020572604148808505,0.3333333333333333,0,1,0
1,1,1,1,0,4166.0,3369.0,201.0,360.0,1.0,0,7535.0,0.026675514266755143,0.5583333333333333,0,0,1
1,0,0,1,0,3167.0,0.0,74.0,360.0,1.0,0,3167.0,0.023365961477739186,0.20555555555555555,0,0,1
1,0,1,1,1,4692.0,0.0,106.0,360.0,1.0,0,4692.0,0.022591645353793693,0.29444444444444445,1,0,0
1,1,0,1,0,3500.0,1667.0,114.0,360.0,1.0,1,5167.0,0.022063092703696534,0.31666666666666665,0,1,0
1,0,3,1,0,10171.25,3000.0,261.5,360.0,1.0,0,12555.375,0.02064516129032258,0.8888888888888888,1,0,0
1,1,0,1,0,2275.0,2067.0,128.0,360.0,1.0,1,4342.0,0.02947950253339475,0.35555555555555557,0,0,1
1,1,0,1,0,1828.0,1330.0,100.0,360.0,0.0,0,3158.0,0.031665611146295125,0.2777777777777778,0,0,1
0,1,0,1,0,3667.0,1459.0,144.0,360.0,1.0,1,5126.0,0.02809207959422552,0.4,0,1,0
1,0,0,1,0,4166.0,5743.125,184.0,360.0,1.0,1,11376.0,0.01617440225035162,0.5111111111111111,0,0,1
1,0,0,0,0,3748.0,1668.0,110.0,360.0,1.0,1,5416.0,0.02031019202363368,0.3055555555555556,0,1,0
1,0,0,1,0,3600.0,0.0,80.0,360.0,1.0,0,3600.0,0.022222222222222223,0.2222222222222222,0,0,1
1,0,0,1,0,1800.0,1213.0,47.0,360.0,1.0,1,3013.0,0.015599070693660804,0.13055555555555556,0,0,1
1,1,0,1,0,2400.0,0.0,75.0,360.0,1.0,1,2400.0,0.03125,0.20833333333333334,0,0,1
1,1,0,1,0,3941.0,2336.0,134.0,360.0,1.0,1,6277.0,0.021347777600764697,0.37222222222222223,0,1,0
1,1,0,0,1,4695.0,0.0,96.0,360.0,1.0,1,4695.0,0.020447284345047924,0.26666666666666666,0,0,1
0,0,0,1,0,3410.0,0.0,88.0,360.0,1.0,1,3410.0,0.025806451612903226,0.24444444444444444,0,0,1
1,1,1,1,0,5649.0,0.0,44.0,360.0,1.0,1,5649.0,0.007788989201628607,0.12222222222222222,0,0,1
1,1,0,1,0,5821.0,0.0,144.0,360.0,1.0,1,5821.0,0.02473801752276241,0.4,0,0,1
0,1,0,1,0,2645.0,3440.0,120.0,360.0,0.0,0,6085.0,0.01972062448644207,0.3333333333333333,0,0,1
0,0,0,1,0,4000.0,2275.0,144.0,360.0,1.0,1,6275.0,0.022948207171314742,0.4,0,1,0
0,1,0,0,0,1928.0,1644.0,100.0,360.0,1.0,1,3572.0,0.027995520716685332,0.2777777777777778,0,1,0
0,0,0,1,0,3086.0,0.0,120.0,360.0,1.0,1,3086.0,0.03888528839922229,0.3333333333333333,0,1,0
0,0,0,1,0,4230.0,0.0,112.0,360.0,1.0,0,4230.0,0.026477541371158392,0.3111111111111111,0,1,0
1,1,2,1,0,4616.0,0.0,134.0,360.0,1.0,0,4616.0,0.02902946273830156,0.37222222222222223,0,0,1
0,1,1,1,1,10171.25,0.0,261.5,360.0,0.0,0,11500.0,0.024869565217391306,0.7944444444444444,0,0,1
1,1,2,1,0,2708.0,1167.0,97.0,360.0,1.0,1,3875.0,0.02503225806451613,0.26944444444444443,0,1,0
1,1,0,1,0,2132.0,1591.0,96.0,360.0,1.0,1,3723.0,0.0257856567284448,0.26666666666666666,0,1,0
1,1,0,1,0,3366.0,2200.0,135.0,360.0,1.0,0,5566.0,0.024254401724757457,0.375,1,0,0
1,1,1,1,0,8080.0,2250.0,180.0,360.0,1.0,1,10330.0,0.017424975798644726,0.5,0,0,1
1,1,2,0,0,3357.0,2859.0,144.0,360.0,1.0,1,6216.0,0.023166023166023165,0.4,0,0,1
1,1,0,1,0,2500.0,3796.0,120.0,360.0,1.0,1,6296.0,0.01905972045743329,0.3333333333333333,0,0,1
1,1,3,1,0,3029.0,0.0,99.0,360.0,1.0,1,3029.0,0.03268405414328161,0.275,0,0,1
1,1,0,0,1,2609.0,3449.0,165.0,180.0,0.0,0,6058.0,0.02723671178606801,0.9166666666666666,1,0,0
1,1,1,1,0,4945.0,0.0,128.0,360.0,0.0,0,4945.0,0.025884732052578362,0.35555555555555557,1,0,0
0,0,0,1,0,4166.0,0.0,116.0,360.0,0.0,0,4166.0,0.02784445511281805,0.32222222222222224,0,1,0
1,1,0,1,0,5726.0,4595.0,258.0,360.0,1.0,0,10321.0,0.024997577754093597,0.7166666666666667,0,1,0
1,0,0,0,0,3200.0,2254.0,126.0,180.0,0.0,0,5454.0,0.0231023102310231,0.7,0,0,1
1,1,1,1,0,10171.25,0.0,261.5,360.0,1.0,1,10750.0,0.02902325581395349,0.8666666666666667,0,0,1
1,1,3,0,1,7100.0,0.0,125.0,60.0,1.0,1,7100.0,0.017605633802816902,2.0833333333333335,0,0,1
0,0,0,1,0,4300.0,0.0,136.0,360.0,0.0,0,4300.0,0.03162790697674418,0.37777777777777777,0,1,0
1,1,0,1,0,3208.0,3066.0,172.0,360.0,1.0,1,6274.0,0.027414727446605038,0.4777777777777778,0,0,1
1,1,2,0,1,1875.0,1875.0,97.0,360.0,1.0,1,3750.0,0.025866666666666666,0.26944444444444443,0,1,0
1,0,0,1,0,3500.0,0.0,81.0,300.0,1.0,1,3500.0,0.023142857142857142,0.27,0,1,0
1,1,3,0,0,4755.0,0.0,95.0,360.0,0.0,0,4755.0,0.019978969505783387,0.2638888888888889,0,1,0
1,1,3,1,1,5266.0,1774.0,187.0,360.0,1.0,1,7040.0,0.0265625,0.5194444444444445,0,1,0
1,0,0,1,0,3750.0,0.0,113.0,480.0,1.0,0,3750.0,0.030133333333333335,0.23541666666666666,0,0,1
1,0,0,1,0,3750.0,4750.0,176.0,360.0,1.0,0,8500.0,0.020705882352941178,0.4888888888888889,0,0,1
1,1,1,1,1,1000.0,3022.0,110.0,360.0,1.0,0,4022.0,0.02734957732471407,0.3055555555555556,0,0,1
1,1,3,1,0,3167.0,4000.0,180.0,300.0,0.0,0,7167.0,0.025115110925073254,0.6,0,1,0
1,1,3,0,1,3333.0,2166.0,130.0,360.0,1.0,1,5499.0,0.02364066193853428,0.3611111111111111,0,1,0
0,0,0,1,0,3846.0,0.0,111.0,360.0,1.0,1,3846.0,0.028861154446177848,0.30833333333333335,0,1,0
1,1,1,1,1,2395.0,0.0,128.0,360.0,1.0,1,2395.0,0.05344467640918581,0.35555555555555557,0,1,0
0,1,2,1,0,1378.0,1881.0,167.0,360.0,1.0,0,3259.0,0.0512427124884934,0.4638888888888889,0,0,1
1,1,0,1,0,6000.0,2250.0,261.5,360.0,1.0,0,8250.0,0.03212121212121212,0.7361111111111112,0,1,0
1,1,1,1,0,3988.0,0.0,50.0,240.0,1.0,1,3988.0,0.012537612838515547,0.20833333333333334,0,0,1
1,0,0,1,0,2366.0,2531.0,136.0,360.0,1.0,1,4897.0,0.027772105370635083,0.37777777777777777,0,1,0
1,1,2,0,0,3333.0,2000.0,99.0,360.0,1.0,1,5333.0,0.0185636602287643,0.275,0,1,0
1,1,0,1,0,2500.0,2118.0,104.0,360.0,1.0,1,4618.0,0.02252057167605024,0.28888888888888886,0,1,0
1,0,0,1,0,8566.0,0.0,210.0,360.0,1.0,1,8566.0,0.02451552650011674,0.5833333333333334,0,0,1
1,1,0,1,0,5695.0,4167.0,175.0,360.0,1.0,1,9862.0,0.017744879334820524,0.4861111111111111,0,1,0
1,1,0,1,0,2958.0,2900.0,131.0,360.0,1.0,1,5858.0,0.022362581085694777,0.3638888888888889,0,1,0
1,1,2,1,0,6250.0,5654.0,188.0,180.0,1.0,1,11904.0,0.015793010752688172,1.0444444444444445,0,1,0
1,1,2,0,0,3273.0,1820.0,81.0,360.0,1.0,1,5093.0,0.015904182210877676,0.225,0,0,1
1,0,0,1,0,4133.0,0.0,122.0,360.0,1.0,1,4133.0,0.029518509557222357,0.3388888888888889,0,1,0
1,0,0,0,0,3620.0,0.0,25.0,120.0,1.0,1,3620.0,0.006906077348066298,0.20833333333333334,0,1,0
1,0,0,1,0,6782.0,0.0,128.0,360.0,1.0,0,6782.0,0.018873488646416987,0.35555555555555557,0,0,1
0,1,0,1,0,2484.0,2302.0,137.0,360.0,1.0,1,4786.0,0.028625156707062265,0.38055555555555554,0,1,0
1,1,0,1,0,1977.0,997.0,50.0,360.0,1.0,1,2974.0,0.016812373907195696,0.1388888888888889,0,1,0
1,1,0,0,0,4188.0,0.0,115.0,180.0,1.0,1,4188.0,0.027459407831900668,0.6388888888888888,0,1,0
1,1,0,1,0,1759.0,3541.0,131.0,360.0,1.0,1,5300.0,0.02471698113207547,0.3638888888888889,0,1,0
1,1,2,0,0,4288.0,3263.0,133.0,180.0,1.0,1,7551.0,0.01761356111773275,0.7388888888888889,0,0,1
1,0,0,1,0,4843.0,3806.0,151.0,360.0,1.0,1,8649.0,0.017458665741704245,0.41944444444444445,0,1,0
1,1,0,1,0,10171.25,0.0,128.0,360.0,1.0,1,12555.375,0.009377289377289377,0.35555555555555557,0,0,1
1,1,0,1,0,4652.0,3583.0,128.0,360.0,1.0,1,8235.0,0.01554341226472374,0.35555555555555557,0,1,0
1,1,0,1,0,3816.0,754.0,160.0,360.0,1.0,1,4570.0,0.0350109409190372,0.4444444444444444,0,0,1
1,1,1,1,0,3052.0,1030.0,100.0,360.0,1.0,1,4082.0,0.02449779519843214,0.2777777777777778,0,0,1
1,1,2,1,0,10171.25,1126.0,225.0,360.0,1.0,1,12543.0,0.01793829227457546,0.625,0,0,1
1,0,0,0,0,7333.0,0.0,120.0,360.0,1.0,0,7333.0,0.01636438019909996,0.3333333333333333,1,0,0
1,1,2,1,0,3800.0,3600.0,216.0,360.0,0.0,0,7400.0,0.02918918918918919,0.6,0,0,1
1,1,3,0,0,2071.0,754.0,94.0,480.0,1.0,1,2825.0,0.03327433628318584,0.19583333333333333,0,1,0
1,0,0,1,0,5316.0,0.0,136.0,360.0,1.0,1,5316.0,0.025583145221971408,0.37777777777777777,0,0,1
0,1,0,1,0,2929.0,2333.0,139.0,360.0,1.0,1,5262.0,0.026415811478525276,0.3861111111111111,0,1,0
1,1,0,0,0,3572.0,4114.0,152.0,360.0,0.0,0,7686.0,0.019776216497527973,0.4222222222222222,1,0,0
0,0,1,1,1,7451.0,0.0,128.0,360.0,1.0,1,7451.0,0.01717890216078379,0.35555555555555557,0,1,0
1,0,0,1,0,5050.0,0.0,118.0,360.0,1.0,1,5050.0,0.023366336633663366,0.3277777777777778,0,1,0
1,1,1,1,0,10171.25,0.0,185.0,180.0,1.0,1,12555.375,0.012686004251525749,1.0277777777777777,1,0,0
0,1,0,1,0,3167.0,2283.0,154.0,360.0,1.0,1,5450.0,0.028256880733944955,0.42777777777777776,0,1,0
1,1,1,1,0,2214.0,1398.0,85.0,360.0,1.0,1,3612.0,0.02353266888150609,0.2361111111111111,0,0,1
1,1,0,1,0,5568.0,2142.0,175.0,360.0,1.0,0,7710.0,0.022697795071335927,0.4861111111111111,1,0,0
0,0,0,1,0,10171.25,0.0,259.0,360.0,1.0,1,10408.0,0.024884704073789392,0.7194444444444444,0,0,1
1,1,0,1,0,5667.0,2667.0,180.0,360.0,1.0,1,8334.0,0.02159827213822894,0.5,1,0,0
0,0,0,1,0,4166.0,0.0,44.0,360.0,1.0,1,4166.0,0.01056168987037926,0.12222222222222222,0,1,0
0,0,0,1,0,2137.0,5743.125,137.0,360.0,0.0,1,11117.0,0.01232346856166232,0.38055555555555554,0,1,0
1,1,2,1,0,2957.0,0.0,81.0,360.0,1.0,1,2957.0,0.027392627663172135,0.225,0,1,0
1,1,0,0,0,4300.0,2014.0,194.0,360.0,1.0,1,6314.0,0.030725372188786824,0.5388888888888889,1,0,0
0,0,0,1,0,3692.0,0.0,93.0,360.0,1.0,1,3692.0,0.025189599133261104,0.25833333333333336,1,0,0
1,1,3,1,0,10171.25,0.0,261.5,360.0,1.0,1,12555.375,0.015544259127000798,1.0277777777777777,1,0,0
1,0,0,1,0,3865.0,1640.0,128.0,360.0,1.0,1,5505.0,0.023251589464123524,0.35555555555555557,1,0,0
1,1,1,1,1,10171.25,3850.0,160.0,180.0,0.0,0,12555.375,0.011139734038849823,0.8888888888888888,0,0,1
1,1,0,1,0,6080.0,2569.0,182.0,360.0,1.0,0,8649.0,0.021042895132385248,0.5055555555555555,1,0,0
1,0,0,1,1,10171.25,0.0,261.5,480.0,1.0,1,12555.375,0.03223247049489239,1.3541666666666667,0,0,1
1,0,0,1,0,2014.0,1929.0,74.0,360.0,1.0,1,3943.0,0.018767435962465127,0.20555555555555555,0,0,1
1,0,0,1,0,2718.0,0.0,70.0,360.0,1.0,1,2718.0,0.025754231052244298,0.19444444444444445,0,1,0
1,1,0,1,1,3459.0,0.0,25.0,120.0,1.0,1,3459.0,0.007227522405319456,0.20833333333333334,0,1,0
1,0,0,1,0,4895.0,0.0,102.0,360.0,1.0,1,4895.0,0.020837589376915218,0.2833333333333333,0,1,0
1,1,3,1,0,4000.0,5743.125,261.5,360.0,1.0,0,11750.0,0.02468085106382979,0.8055555555555556,0,1,0
0,1,0,1,0,4583.0,0.0,84.0,360.0,1.0,0,4583.0,0.0183286057167794,0.23333333333333334,1,0,0
1,1,2,1,1,3316.0,3500.0,88.0,360.0,1.0,1,6816.0,0.012910798122065728,0.24444444444444444,0,0,1
1,0,0,1,0,10171.25,0.0,242.0,360.0,0.0,0,12555.375,0.016134408960597372,0.6722222222222223,0,1,0
1,1,2,0,0,4200.0,1430.0,129.0,360.0,1.0,0,5630.0,0.022912966252220248,0.35833333333333334,1,0,0
1,1,2,1,0,5042.0,2083.0,185.0,360.0,1.0,0,7125.0,0.025964912280701753,0.5138888888888888,1,0,0
1,0,0,1,0,5417.0,0.0,168.0,360.0,1.0,1,5417.0,0.031013476093778844,0.4666666666666667,0,0,1
1,0,0,1,1,6950.0,0.0,175.0,180.0,1.0,1,6950.0,0.025179856115107913,0.9722222222222222,0,1,0
1,1,0,1,0,2698.0,2034.0,122.0,360.0,1.0,1,4732.0,0.02578191039729501,0.3388888888888889,0,1,0
1,1,2,1,0,10171.25,0.0,187.0,180.0,1.0,1,11757.0,0.01590541804882198,1.038888888888889,0,0,1
0,1,0,1,0,2330.0,4486.0,100.0,360.0,1.0,1,6816.0,0.014671361502347418,0.2777777777777778,0,1,0
0,1,2,1,0,10171.25,0.0,70.0,360.0,1.0,1,12555.375,0.0047087313332436435,0.19444444444444445,0,0,1
1,1,1,1,0,1538.0,1425.0,30.0,360.0,1.0,1,2963.0,0.010124873439082012,0.08333333333333333,0,0,1
0,0,0,1,0,10000.0,1666.0,225.0,360.0,1.0,0,11666.0,0.019286816389507973,0.625,1,0,0
1,1,0,1,0,4860.0,830.0,125.0,360.0,1.0,1,5690.0,0.021968365553602813,0.3472222222222222,0,1,0
1,0,0,1,0,6277.0,0.0,118.0,360.0,0.0,0,6277.0,0.018798789230524134,0.3277777777777778,1,0,0
1,1,0,1,1,2577.0,3750.0,152.0,360.0,1.0,1,6327.0,0.024024024024024024,0.4222222222222222,1,0,0
1,0,0,1,0,9166.0,0.0,244.0,360.0,1.0,0,9166.0,0.026620117826751038,0.6777777777777778,0,0,1
1,1,2,0,0,2281.0,0.0,113.0,360.0,1.0,0,2281.0,0.049539675580885574,0.3138888888888889,1,0,0
1,0,0,1,0,3254.0,0.0,50.0,360.0,1.0,1,3254.0,0.015365703749231715,0.1388888888888889,0,0,1
1,1,3,1,0,10171.25,0.0,261.5,180.0,0.0,1,12555.375,0.015000375009375235,3.3333333333333335,0,1,0
1,1,1,1,0,6000.0,0.0,160.0,360.0,1.0,1,6000.0,0.02666666666666667,0.4444444444444444,1,0,0
1,1,1,1,0,9538.0,0.0,187.0,360.0,1.0,1,9538.0,0.019605787376808556,0.5194444444444445,0,0,1
1,0,0,1,0,2980.0,2083.0,120.0,360.0,1.0,1,5063.0,0.023701362828362632,0.3333333333333333,1,0,0
1,1,0,1,0,4583.0,5625.0,255.0,360.0,1.0,1,10208.0,0.02498040752351097,0.7083333333333334,0,1,0
1,1,0,0,0,1863.0,1041.0,98.0,360.0,1.0,1,2904.0,0.0337465564738292,0.2722222222222222,0,1,0
1,1,0,1,0,7933.0,0.0,261.5,360.0,1.0,0,7933.0,0.03466532207235598,0.7638888888888888,0,0,1
1,1,1,1,0,3089.0,1280.0,121.0,360.0,0.0,0,4369.0,0.027695124742504004,0.33611111111111114,0,1,0
1,1,2,1,0,4167.0,1447.0,158.0,360.0,1.0,1,5614.0,0.028143925899536872,0.4388888888888889,1,0,0
1,1,0,1,0,9323.0,0.0,75.0,180.0,1.0,1,9323.0,0.008044620830204869,0.4166666666666667,0,0,1
1,1,0,1,0,3707.0,3166.0,182.0,360.0,1.0,1,6873.0,0.02648043067074058,0.5055555555555555,1,0,0
0,1,0,1,0,4583.0,0.0,112.0,360.0,1.0,0,4583.0,0.02443814095570587,0.3111111111111111,1,0,0
1,1,0,1,0,2439.0,3333.0,129.0,360.0,1.0,1,5772.0,0.02234927234927235,0.35833333333333334,1,0,0
1,0,0,1,0,2237.0,0.0,63.0,480.0,0.0,0,2237.0,0.028162717925793473,0.13125,0,1,0
1,1,2,1,0,8000.0,0.0,200.0,360.0,1.0,1,8000.0,0.025,0.5555555555555556,0,1,0
1,1,0,0,0,1820.0,1769.0,95.0,360.0,1.0,1,3589.0,0.026469768737809974,0.2638888888888889,1,0,0
1,1,3,1,0,10171.25,0.0,261.5,300.0,1.0,1,12555.375,0.013523172922744044,2.3333333333333335,0,0,1
1,1,3,0,0,3522.0,0.0,81.0,180.0,1.0,0,3522.0,0.022998296422487224,0.45,1,0,0
1,1,0,1,0,5708.0,5625.0,187.0,360.0,1.0,1,11333.0,0.016500485308391422,0.5194444444444445,0,1,0
1,1,0,0,1,4344.0,736.0,87.0,360.0,1.0,0,5080.0,0.017125984251968505,0.24166666666666667,0,1,0
1,1,0,1,0,3497.0,1964.0,116.0,360.0,1.0,1,5461.0,0.021241530855154733,0.32222222222222224,1,0,0
1,1,2,1,0,2045.0,1619.0,101.0,360.0,1.0,1,3664.0,0.027565502183406112,0.28055555555555556,1,0,0
1,1,3,1,0,5516.0,5743.125,261.5,360.0,0.0,0,12555.375,0.029436251189343482,1.375,0,1,0
1,1,1,1,0,3750.0,0.0,116.0,360.0,1.0,1,3750.0,0.030933333333333334,0.32222222222222224,0,1,0
1,0,0,0,0,2333.0,1451.0,102.0,480.0,0.0,0,3784.0,0.026955602536997886,0.2125,0,0,1
1,1,1,1,0,6400.0,5743.125,180.0,360.0,0.0,0,12555.375,0.013186813186813187,0.5,0,0,1
1,0,0,1,0,1916.0,5063.0,67.0,360.0,1.0,0,6979.0,0.00960022925920619,0.18611111111111112,1,0,0
1,1,0,1,0,4600.0,0.0,73.0,180.0,1.0,1,4600.0,0.015869565217391305,0.40555555555555556,0,1,0
1,1,1,1,0,10171.25,0.0,260.0,360.0,1.0,0,12555.375,0.00768185309933227,0.7222222222222222,0,1,0
0,1,0,1,0,3625.0,0.0,108.0,360.0,1.0,1,3625.0,0.029793103448275862,0.3,0,1,0
1,1,0,1,1,10171.25,4750.0,120.0,360.0,1.0,1,12555.375,0.0027336720049206094,0.3333333333333333,0,1,0
1,1,1,1,1,2178.0,0.0,66.0,300.0,0.0,0,2178.0,0.030303030303030304,0.22,1,0,0
1,1,0,1,0,2383.0,2138.0,58.0,360.0,1.0,1,4521.0,0.012829020128290201,0.16111111111111112,1,0,0
1,1,0,1,1,674.0,5296.0,168.0,360.0,1.0,1,5970.0,0.02814070351758794,0.4666666666666667,1,0,0
1,1,0,1,0,9328.0,0.0,188.0,180.0,1.0,1,9328.0,0.020154373927958835,1.0444444444444445,1,0,0
1,0,0,0,0,4885.0,0.0,48.0,360.0,1.0,1,4885.0,0.009825997952917094,0.13333333333333333,1,0,0
1,0,0,1,0,10171.25,0.0,164.0,360.0,1.0,0,12000.0,0.013666666666666667,0.45555555555555555,0,1,0
1,1,0,0,0,6033.0,0.0,160.0,360.0,1.0,0,6033.0,0.026520802254268193,0.4444444444444444,0,0,1
1,0,0,1,0,3858.0,0.0,76.0,360.0,1.0,1,3858.0,0.019699326075686883,0.2111111111111111,0,1,0
1,0,0,1,0,4191.0,0.0,120.0,360.0,1.0,1,4191.0,0.02863278453829635,0.3333333333333333,1,0,0
1,1,1,1,0,3125.0,2583.0,170.0,360.0,1.0,0,5708.0,0.029782761037140854,0.4722222222222222,0,1,0
1,0,0,1,0,8333.0,3750.0,187.0,360.0,1.0,1,12083.0,0.015476289001075892,0.5194444444444445,1,0,0
0,0,0,0,0,1907.0,2365.0,120.0,360.0,1.0,1,4272.0,0.028089887640449437,0.3333333333333333,0,0,1
0,1,0,1,0,3416.0,2816.0,113.0,360.0,1.0,1,6232.0,0.01813222079589217,0.3138888888888889,0,1,0
1,0,0,1,1,10171.25,0.0,83.0,360.0,1.0,0,11000.0,0.007545454545454545,0.23055555555555557,0,0,1
1,1,1,0,0,2600.0,2500.0,90.0,360.0,1.0,1,5100.0,0.01764705882352941,0.25,0,1,0
1,0,2,1,0,4923.0,0.0,166.0,360.0,0.0,1,4923.0,0.03371927686370099,0.46111111111111114,0,1,0
1,1,3,0,0,3992.0,0.0,128.0,180.0,1.0,0,3992.0,0.03206412825651302,0.7111111111111111,0,0,1
1,1,1,0,0,3500.0,1083.0,135.0,360.0,1.0,1,4583.0,0.029456687759109753,0.375,0,0,1
1,1,2,0,0,3917.0,0.0,124.0,360.0,1.0,1,3917.0,0.03165688026550932,0.34444444444444444,0,1,0
0,0,0,0,0,4408.0,0.0,120.0,360.0,1.0,1,4408.0,0.02722323049001815,0.3333333333333333,0,1,0
0,0,0,1,0,3244.0,0.0,80.0,360.0,1.0,1,3244.0,0.02466091245376079,0.2222222222222222,0,0,1
1,0,0,0,0,3975.0,2531.0,55.0,360.0,1.0,1,6506.0,0.008453735013833385,0.1527777777777778,1,0,0
1,0,0,1,0,2479.0,0.0,59.0,360.0,1.0,1,2479.0,0.02379991932230738,0.1638888888888889,0,0,1
1,0,0,1,0,3418.0,0.0,127.0,360.0,1.0,0,3418.0,0.0371562317144529,0.3527777777777778,0,1,0
0,0,0,1,0,10000.0,0.0,214.0,360.0,1.0,0,10000.0,0.0214,0.5944444444444444,0,1,0
1,1,3,1,0,3430.0,1250.0,128.0,360.0,0.0,0,4680.0,0.02735042735042735,0.35555555555555557,0,1,0
1,1,1,1,1,7787.0,0.0,240.0,360.0,1.0,1,7787.0,0.030820598433286245,0.6666666666666666,0,0,1
1,1,3,0,1,5703.0,0.0,130.0,360.0,1.0,1,5703.0,0.02279502016482553,0.3611111111111111,1,0,0
1,1,0,1,0,3173.0,3021.0,137.0,360.0,1.0,1,6194.0,0.022118178882789795,0.38055555555555554,0,0,1
1,1,3,0,0,3850.0,983.0,100.0,360.0,1.0,1,4833.0,0.02069108214359611,0.2777777777777778,0,1,0
1,1,0,1,0,150.0,1800.0,135.0,360.0,1.0,0,1950.0,0.06923076923076923,0.375,1,0,0
1,1,0,1,0,3727.0,1775.0,131.0,360.0,1.0,1,5502.0,0.023809523809523808,0.3638888888888889,0,1,0
1,1,2,1,0,5000.0,0.0,72.0,360.0,0.0,0,5000.0,0.0144,0.2,0,1,0
0,1,2,1,0,4283.0,2383.0,127.0,360.0,1.0,1,6666.0,0.019051905190519053,0.3527777777777778,0,1,0
1,1,0,1,0,2221.0,0.0,60.0,360.0,0.0,0,2221.0,0.0270148581719946,0.16666666666666666,0,0,1
1,1,2,1,0,4009.0,1717.0,116.0,360.0,1.0,1,5726.0,0.020258470136220747,0.32222222222222224,0,1,0
